교차로,접근로,이동류,시,혼잡률,평균교통량,표본,임계값
동막교사거리,경기고속삼거리 방면,우회전,0,19.52,24.3,333,10
동막교사거리,경기고속삼거리 방면,우회전,1,10.41,15.3,269,10
동막교사거리,경기고속삼거리 방면,우회전,2,9.48,12.7,116,10
동막교사거리,경기고속삼거리 방면,우회전,3,1.8,11.8,111,10
동막교사거리,경기고속삼거리 방면,우회전,4,3.17,26.3,347,10
동막교사거리,경기고속삼거리 방면,우회전,5,12.5,53.6,360,10
동막교사거리,경기고속삼거리 방면,우회전,6,19.06,73.3,362,10
동막교사거리,경기고속삼거리 방면,우회전,7,6.38,104.1,376,10
동막교사거리,경기고속삼거리 방면,우회전,8,15.12,101.6,377,10
동막교사거리,경기고속삼거리 방면,우회전,9,30.53,100.9,380,10
동막교사거리,경기고속삼거리 방면,우회전,10,37.11,99.2,380,10
동막교사거리,경기고속삼거리 방면,우회전,11,48.68,104.9,380,10
동막교사거리,경기고속삼거리 방면,우회전,12,55.29,105.0,378,10
동막교사거리,경기고속삼거리 방면,우회전,13,51.6,115.0,376,10
동막교사거리,경기고속삼거리 방면,우회전,14,44.41,111.3,376,10
동막교사거리,경기고속삼거리 방면,우회전,15,43.77,107.1,377,10
동막교사거리,경기고속삼거리 방면,우회전,16,39.68,108.4,378,10
동막교사거리,경기고속삼거리 방면,우회전,17,39.41,118.0,373,10
동막교사거리,경기고속삼거리 방면,우회전,18,52.93,107.2,376,10
동막교사거리,경기고속삼거리 방면,우회전,19,28.61,92.4,374,10
동막교사거리,경기고속삼거리 방면,우회전,20,31.71,86.2,369,10
동막교사거리,경기고속삼거리 방면,우회전,21,33.96,79.9,371,10
동막교사거리,경기고속삼거리 방면,우회전,22,27.37,69.6,369,10
동막교사거리,경기고속삼거리 방면,우회전,23,23.06,39.5,360,10
동막교사거리,경기고속삼거리 방면,좌회전,0,23.28,26.4,335,10
동막교사거리,경기고속삼거리 방면,좌회전,1,30.65,14.4,248,10
동막교사거리,경기고속삼거리 방면,좌회전,2,30.0,12.1,100,10
동막교사거리,경기고속삼거리 방면,좌회전,3,51.11,11.0,45,10
동막교사거리,경기고속삼거리 방면,좌회전,4,41.21,12.7,182,10
