교차로,접근로,이동류,시,혼잡률,평균속도,자유속도,표본
동막교사거리,경기고속삼거리 방면,우회전,0,0.0,23.6,24.2,333
동막교사거리,경기고속삼거리 방면,우회전,1,0.0,24.9,24.2,269
동막교사거리,경기고속삼거리 방면,우회전,2,0.0,25.6,24.2,116
동막교사거리,경기고속삼거리 방면,우회전,3,0.0,26.1,24.2,111
동막교사거리,경기고속삼거리 방면,우회전,4,0.0,25.4,24.2,347
동막교사거리,경기고속삼거리 방면,우회전,5,0.0,24.4,24.2,360
동막교사거리,경기고속삼거리 방면,우회전,6,0.0,23.3,24.2,362
동막교사거리,경기고속삼거리 방면,우회전,7,0.0,24.4,24.2,376
동막교사거리,경기고속삼거리 방면,우회전,8,0.0,23.7,24.2,377
동막교사거리,경기고속삼거리 방면,우회전,9,0.0,23.1,24.2,380
동막교사거리,경기고속삼거리 방면,우회전,10,0.0,22.6,24.2,380
동막교사거리,경기고속삼거리 방면,우회전,11,0.0,22.1,24.2,380
동막교사거리,경기고속삼거리 방면,우회전,12,0.3,21.7,24.2,378
동막교사거리,경기고속삼거리 방면,우회전,13,0.0,21.9,24.2,376
동막교사거리,경기고속삼거리 방면,우회전,14,0.0,22.2,24.2,376
동막교사거리,경기고속삼거리 방면,우회전,15,0.0,22.3,24.2,377
동막교사거리,경기고속삼거리 방면,우회전,16,0.3,22.6,24.2,378
동막교사거리,경기고속삼거리 방면,우회전,17,0.0,22.4,24.2,373
동막교사거리,경기고속삼거리 방면,우회전,18,0.0,21.8,24.2,376
동막교사거리,경기고속삼거리 방면,우회전,19,0.0,23.0,24.2,374
동막교사거리,경기고속삼거리 방면,우회전,20,0.0,22.9,24.2,369
동막교사거리,경기고속삼거리 방면,우회전,21,0.0,22.8,24.2,371
동막교사거리,경기고속삼거리 방면,우회전,22,0.0,23.0,24.2,369
동막교사거리,경기고속삼거리 방면,우회전,23,0.0,23.2,24.2,360
동막교사거리,경기고속삼거리 방면,좌회전,0,0.3,26.4,26.1,335
동막교사거리,경기고속삼거리 방면,좌회전,1,0.4,25.9,26.1,248
동막교사거리,경기고속삼거리 방면,좌회전,2,1.0,25.2,26.1,100
동막교사거리,경기고속삼거리 방면,좌회전,3,2.2,24.0,26.1,45
동막교사거리,경기고속삼거리 방면,좌회전,4,0.5,24.6,26.1,182
동막교사거리,경기고속삼거리 방면,좌회전,5,0.3,26.3,26.1,326
동막교사거리,경기고속삼거리 방면,좌회전,6,0.0,27.5,26.1,358
동막교사거리,경기고속삼거리 방면,좌회전,7,0.0,27.4,26.1,376
동막교사거리,경기고속삼거리 방면,좌회전,8,1.3,28.0,26.1,379
동막교사거리,경기고속삼거리 방면,좌회전,9,0.0,28.9,26.1,380
동막교사거리,경기고속삼거리 방면,좌회전,10,0.0,28.3,26.1,380
동막교사거리,경기고속삼거리 방면,좌회전,11,0.0,28.1,26.1,380
동막교사거리,경기고속삼거리 방면,좌회전,12,0.0,28.0,26.1,379
동막교사거리,경기고속삼거리 방면,좌회전,13,0.0,28.0,26.1,377
동막교사거리,경기고속삼거리 방면,좌회전,14,0.0,28.0,26.1,377
동막교사거리,경기고속삼거리 방면,좌회전,15,0.0,28.0,26.1,379
동막교사거리,경기고속삼거리 방면,좌회전,16,0.0,28.6,26.1,378
동막교사거리,경기고속삼거리 방면,좌회전,17,0.0,28.8,26.1,379
동막교사거리,경기고속삼거리 방면,좌회전,18,0.0,28.9,26.1,377
동막교사거리,경기고속삼거리 방면,좌회전,19,0.0,28.6,26.1,368
동막교사거리,경기고속삼거리 방면,좌회전,20,0.0,28.3,26.1,366
동막교사거리,경기고속삼거리 방면,좌회전,21,0.0,28.0,26.1,363
동막교사거리,경기고속삼거리 방면,좌회전,22,0.6,27.8,26.1,359
동막교사거리,경기고속삼거리 방면,좌회전,23,0.3,27.1,26.1,355
동막교사거리,경기고속삼거리 방면,직진,0,0.0,42.4,41.8,336
동막교사거리,경기고속삼거리 방면,직진,1,0.4,41.3,41.8,284
동막교사거리,경기고속삼거리 방면,직진,2,0.7,41.5,41.8,144
동막교사거리,경기고속삼거리 방면,직진,3,1.6,41.2,41.8,62
동막교사거리,경기고속삼거리 방면,직진,4,2.0,40.8,41.8,244
동막교사거리,경기고속삼거리 방면,직진,5,0.0,41.3,41.8,345
동막교사거리,경기고속삼거리 방면,직진,6,0.0,48.1,41.8,357
동막교사거리,경기고속삼거리 방면,직진,7,0.0,47.7,41.8,377
